Main Category	Sub-Category (Trainer Specialties)
Barre	"Barre yoga
Cardio Barre
Fundamentals
Postnatal
Prenatal
Barre General"
Bootcamp	"AMRAP (As many reps as possible)
Bodyweight
Equipment based
HIIT (High-intensity interval training)
Outdoor
TRX (Total body resistance exercise)
Bootcamp General"
Boxing/Kickboxing	"Boxing
Fundamentals
Kickboxing
Power boxing
Power kickboxing
Sparring
Wrestling
Boxing/Kickboxing General"
Circuit Training	"Bodyweight
Core
Full body
HIIT (High-intensity interval training)
Kettlebell
Lower body
Plyometrics
Postnatal
Prenatal
TRX (Total body resistance exercise)
Upper body
Circuit Training General"
Cross Fit	"Competition
Fundamentals
Olympic lifting
Open gym
WOD (Workout of the day)
Crossfit General"
Cycling	"(""Outdoor
Rhythm cycling, 
Spin,
Cycling General"")"
Dance	"Ballet
Ballroom
Belly dance, 
Bhangra
Contemporary
Drumming
Garba
Adumu
Gwara Gwara
Atilogwu
Umushayayo
Kathak
Kabuki
Dragon Dance
Barong
Flamenco
Irish Stepdance
Polka
Sirtaki
Square Dance
Powwow Dances
Danza de los Voladores
Samba
Tango
Cueca
Cumbia
Haka
Hula
Baining Fire Dance
Belly Dance
Dabke
Tanoura
Kalinka
Morris Dance
Bhavai
Hip hop
Hooping
Hula
Jazzercise
Line dancing
Pole fitness
Salsa
Swing
Tango
Zumba
Dance General"
Interval Training	"AMRAP (As many reps as possible)
Bodyweight
Drumming
HIIT (High-intensity interval training)
Kettlebell
Lower body
Plyometrics
Tabata
TRX (Total Resistance eXercise)
Upper body
Interval Training General"
Running	"Running General, 
5K, 
10K, 
Half Marathon, 
Full Marathon, 
Speed work, 
Trail Runs, 
Ultra Marathon"
Personal Training	"Bodybuilding,
Developmental,
Holistic,
Postnatal,
Prenatal,
Upper Body,
Arms,
Gluteal, 
Legs,
Chest, 
Back, 
Shoulders,
Core,
Full body,
Power lifting,
Personal Training General"
Pilates	"(""Contemporary Pilates,
Equipment,
Lagree,
Mat,
PiYo,
Prenatal,
Reformer,
Yogalates,
Pilates General"")"
Sports	"Archery,
Baseball,
Badminton,
Basketball, 
Cricket,
Conditioning,
Fencing, 
Football, 
Golf, 
Gymnastics,
Handball,
Horse Racing,
Ice Hockey,
Lacrosse, 
Performance training,
Pickleball,
Rowing, 
Rugby,
Sailing,
Skateboarding,
Skiing/Snowboarding,
Surfing,
Soccer, 
Softball,
Swimming, 
Table Tennsis,
Tennis,
Ultimate Frisbee,
Volleyball,
Water sports,
Wrestling,
Sports General"
Tai Chi	"Chen,
Combination,
Hao,
Outdoor,
Wang,
Wu,
TaiChi General"
Yoga	"Anusara,
Ashtanga,
Bikram,
Buti,
Chair,
Gentle,
Hatha,
Heated,
Iyengar,
Jivamukti,
Laughter,
Kundalini,
PiYo,
Power, 
Vinyasa,
Prenatal,
Restorative, 
Sivananda,
Triyoga,
Yin,Yang,
Yoga sculpt,
Yoga General"
Martial Arts	"Aikido, 
Baquazhang, 
Qigong, 
Boxing,
Kickboxing,
Muay Thai,
Karate,
Krav Maga, 
Modern Arnis, 
Keysi, 
Systema,
Greco-Roman,
Taekwondo
BJJ,
Judo,
Wrestling,
MMA,
Jeet Kune Do,
Taichi,
Baquazhang,
Aikido, 
Kung Fu, 
Capoeira, 
Sambo,
Silat, 
Sumo, 
Muay Boran, 
Savate, 
Shuai Jiao,"
Training Plan	Plan Package (Select Below)
	1 Day Plan
	1 Week Plan
	30 Day Plan
	60 Day Plan
	60 and Over Plan
	Flat Rate Plan (Any duration)
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
